agent,agent_logo,price,postcode,city
Knight Frank - Southbank Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(644074).png,"£2,250,000","Palace View, Lambeth, London SE1",London
Rosewood Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(341238).png,"£799,950","Ann Lane, Chelsea SW10",London
Knight Frank - Fulham Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(134889).png,"£2,900,000","Felden Street, Fulham, London SW6",London
Wimbledon Homes,https://st.zoocdn.com/zoopla_static_agent_logo_(732568).png,"£7,350,000","Lancaster Gardens, London SW19",London
Kinleigh Folkard & Hayward - St John's Wood Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(621982).png,"£675,000","Mackennal Street, London NW8",London
London Habitat,https://st.zoocdn.com/zoopla_static_agent_logo_(160598).png,"£1,450,000","Greencroft Gardens, London NW6",London
David Andrew Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(666979).png,"£550,000","Alexandra Grove, London N4",London
Location Location,https://st.zoocdn.com/zoopla_static_agent_logo_(243868).png,"£400,000","Lordship Grove, London N16",London
Location Location,https://st.zoocdn.com/zoopla_static_agent_logo_(243868).png,"£550,000","Amhurst Road, London N16",London
Bowden Bradley,https://st.zoocdn.com/zoopla_static_agent_logo_(732151).png,"£550,000","Clive Road, Heath Park, Romford RM2",Essex
Yopa,https://st.zoocdn.com/zoopla_static_agent_logo_(654233).png,"£500,000","Old Ford Road, London E2",London
Robinson Jackson - Orpington,https://st.zoocdn.com/zoopla_static_agent_logo_(433629).png,"£600,000","Borkwood Park, South Orpington, Kent BR6",London
Notting Hill Genesis - SO Dockside at Millharbour,https://st.zoocdn.com/zoopla_static_agent_logo_(721951).png,"£680,000","41 Mastmaker Road, London E14",London
Notting Hill Genesis - SO Dockside at Millharbour,https://st.zoocdn.com/zoopla_static_agent_logo_(721951).png,"£170,000","41 Mastmaker Road, London E14",London
Savills - Wimbledon,https://st.zoocdn.com/zoopla_static_agent_logo_(648969).png,"£1,695,000","Birkbeck Road, Wimbledon, London SW19",London
Savills - Waterfront,https://st.zoocdn.com/zoopla_static_agent_logo_(115021).png,"£3,300,000","South Bank Tower, 55 Upper Ground, London SE1",London
Savills - Wimbledon,https://st.zoocdn.com/zoopla_static_agent_logo_(648969).png,"£4,250,000","St. John's Road, Wimbledon, London SW19",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£1,250,000","Southdown Avenue, London W7",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£300,000","Newcourt, Uxbridge UB8",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£335,000","Streatham Close, Streatham SW16",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£360,000","26A Romeyn Road, Streatham Hill SW16",London
Oliver Burn Residential,https://st.zoocdn.com/zoopla_static_agent_logo_(27641).gif,"£875,000","Kings Lodge, Kings Avenue, Clapham Park SW4",London
Barratt London - Millbrook Park,https://st.zoocdn.com/zoopla_static_agent_logo_(262764).png,"£600,000","""Bramble Apartments"" at Bittacy Hill, London NW7",London
Barratt London - Millbrook Park,https://st.zoocdn.com/zoopla_static_agent_logo_(262764).png,"£561,000","""Meadow Apartments"" at Bittacy Hill, London NW7",London
Hamptons - City Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(707660).png,"£1,000,000","Dudley Court, 36 Endell Street, London WC2H",London
Hamptons - Chiswick Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(707660).png,"£400,000","Kew Eye Apartments, Ealing Road, Brentford TW8",London
Winkworth - Dulwich,https://st.zoocdn.com/zoopla_static_agent_logo_(249290).png,"£1,200,000","Whateley Road, East Dulwich, London SE22",London
Chestertons - Camden & Primrose Hill,https://st.zoocdn.com/zoopla_static_agent_logo_(253788).png,"£400,000","Malden Road, London NW5",London
Streets Ahead - Croydon,https://st.zoocdn.com/zoopla_static_agent_logo_(316340).png,"£535,000","Fullerton Road, Addiscombe, Croydon CR0",London
Behr and Butchoff,https://st.zoocdn.com/zoopla_static_agent_logo_(54436).jpeg,"£975,000","Pavilion Apartments, 34 St. Johns Wood Road, London NW8",London
Behr and Butchoff,https://st.zoocdn.com/zoopla_static_agent_logo_(54436).jpeg,"£635,000","Eamont Court, Mackennal Street, St John's Wood, London NW8",London
Streets Ahead - Croydon Central,https://st.zoocdn.com/zoopla_static_agent_logo_(316340).png,"£329,950","Avondale Road, South Croydon CR2",London
Tyron Ash,https://st.zoocdn.com/zoopla_static_agent_logo_(661759).png,"£859,000","Damac Tower, Nine Elms, London SW8",London
Foxtons - Wimbledon,https://st.zoocdn.com/zoopla_static_agent_logo_(592983).png,"£1,150,000","Raymond Road, Wimbledon Village, London SW19",London
Ariston Property,https://st.zoocdn.com/zoopla_static_agent_logo_(472252).png,"£495,000","Holloway Road, London N19",London
Tyron Ash,https://st.zoocdn.com/zoopla_static_agent_logo_(661759).png,"£1,016,000","Damac Tower, Nine Elms, London SW8",London
Marcus Telford,https://st.zoocdn.com/zoopla_static_agent_logo_(717654).png,"£550,000","Rossindel Road, Hounslow TW3",London
Savills - St. John's Wood & Regents Park,https://st.zoocdn.com/zoopla_static_agent_logo_(115017).png,"£8,950,000","Cumberland Terrace, Regent's Park, London NW1",London
Urban Moves,https://st.zoocdn.com/zoopla_static_agent_logo_(154059).png,"£220,500","Devonshire House, 50 Putney Hill, London SW15",London
Urban Moves,https://st.zoocdn.com/zoopla_static_agent_logo_(154059).png,"£110,000","Fable Apartments, 261c City Road, London EC1V",London
Cutler & Bond,https://st.zoocdn.com/zoopla_static_agent_logo_(732931).png,"£1,000,000","Tadema Road, Chelsea SW10",London
Foxtons - Balham,https://st.zoocdn.com/zoopla_static_agent_logo_(592983).png,"£625,000","Kendoa Road, Clapham, London SW4",London
Winkworth - Harringay,https://st.zoocdn.com/zoopla_static_agent_logo_(249290).png,"£600,000","Beaufoy Road, London N17",London
Knight Frank - Southbank Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(644074).png,"£3,750,000","Peninsula Heights, 93 Albert Embankment, London SE1",London
Spencer & Sener,https://st.zoocdn.com/zoopla_static_agent_logo_(519169).png,"£720,000","Dragons Way, Barnet EN5",Hertfordshire
Aston Chase,https://st.zoocdn.com/zoopla_static_agent_logo_(703975).png,"£4,795,000","Clifton Hill, St John's Wood, London NW8",London
Your Move - Bexleyheath,https://st.zoocdn.com/zoopla_static_agent_logo_(288488).png,"£400,000","Mayplace Road East, Bexleyheath DA7",Kent
Bairstow Eves - Stratford Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(640056).png,"£450,000","Silverland Street, North Woolwich, London, England E16",London
City & Town Estates Ltd,https://st.zoocdn.com/zoopla_static_agent_logo_(519576).png,"£1,650,000","Crossfield Road, Belsize Park-Swiss Cottage NW3",London
Stones Residential,https://st.zoocdn.com/zoopla_static_agent_logo_(248521).png,"£549,950","Howard Road, Stanmore HA7",London
James Bailey Sales & Lettings,https://st.zoocdn.com/zoopla_static_agent_logo_(720079).png,"£500,000","Knighton Close, South Croydon CR2",London
Lauristons - Putney,https://st.zoocdn.com/zoopla_static_agent_logo_(291015).png,"£775,000","East Hill, London SW18",London
Rampton Baseley,https://st.zoocdn.com/zoopla_static_agent_logo_(643976).png,"£1,000,000","Bevin Square, London SW17",London
Winkworth - St Johns Wood,https://st.zoocdn.com/zoopla_static_agent_logo_(732322).png,"£2,200,000","Fairfax Road, South Hampstead NW6",London
Cameron Estate Agents,https://st.zoocdn.com/zoopla_static_agent_logo_(595425).png,"£325,000","St. Johns Close, Cowley, Uxbridge UB8",London
Coopers Residential - West Drayton,https://st.zoocdn.com/zoopla_static_agent_logo_(447558).png,"£485,000","Albert Road, Yiewsley, West Drayton UB7",London
Knight Frank - Knightsbridge Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(90358).png,"£1,300,000","Whitelands House, London SW3",London
London House,https://st.zoocdn.com/zoopla_static_agent_logo_(717176).png,"£17,950,000","Chester Terrace, London NW1",London
Camerons Stiff & Co,https://st.zoocdn.com/zoopla_static_agent_logo_(628876).png,"£425,000","Brondesbury Road, London NW6",London
Ernest-Brooks International,https://st.zoocdn.com/zoopla_static_agent_logo_(562863).png,"£850,000","9 Cromwell Place, South Kensington SW7",London
Robertson Smith & Kempson - Ealing,https://st.zoocdn.com/zoopla_static_agent_logo_(561676).png,"£409,950","Woodfield Road, London W5",London
Camerons Stiff & Co,https://st.zoocdn.com/zoopla_static_agent_logo_(628876).png,"£910,000","Brondesbury Park, London NW6",London
Barnard Marcus - Thornton Heath,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£240,000","Brigstock Road, Thornton Heath CR7",London
Barnard Marcus - Worcester Park,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£675,000","The Glebe, Worcester Park KT4",London
Barnard Marcus - Wallington,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£300,000","Reynolds Close, Carshalton SM5",London
Moveli,https://st.zoocdn.com/zoopla_static_agent_logo_(687104).png,"£1,000,000","Vauxhall Bridge Road, London SW1V",London
Barnard Marcus - Auctions,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£149,000","Mondial Way, Harlington, Hayes UB3",London
Granvilles,https://st.zoocdn.com/zoopla_static_agent_logo_(52196).png,"£975,000","Rymer Street, London SE24",London
Andrew Reeves - Westminster & Belgravia,https://st.zoocdn.com/zoopla_static_agent_logo_(700975).png,"£850,000","Artillery Mansions, 75 Victoria Street, Westminster, London SW1H",London
Marsh & Parsons - Streatham Hill,https://st.zoocdn.com/zoopla_static_agent_logo_(295280).png,"£400,000","Leigham Court Road, London SW16",London
Keller Williams,https://st.zoocdn.com/zoopla_static_agent_logo_(512116).png,"£425,000","Winchmore Hill Road, London N14",London
Man and Co Estate Agents,https://st.zoocdn.com/zoopla_static_agent_logo_(70180).jpeg,"£575,000","Leighton Close, Queensbury HA8",London
Aspire - Furzedown,https://st.zoocdn.com/zoopla_static_agent_logo_(709153).png,"£850,000","Mitcham Lane, London SW16",London
Fine Property,https://st.zoocdn.com/zoopla_static_agent_logo_(711444).png,"£550,000","Elmer Gardens, Isleworth TW7",London
Kings Group - South Chingford,https://st.zoocdn.com/zoopla_static_agent_logo_(665686).png,"£250,000","Mandeville Court, London E4",London
