agent,agent_logo,price,postcode,city
Liv International,https://st.zoocdn.com/zoopla_static_agent_logo_(256937).png,"£395,000","Fairweather House, Parkhurst Road, Holloway N7",London
Richard James Estate Agents,https://st.zoocdn.com/zoopla_static_agent_logo_(35358).jpg,"£875,000","Glenwood Road, London NW7",London
Winkworth - Tooting,https://st.zoocdn.com/zoopla_static_agent_logo_(249290).png,"£830,000","Dahomey Road, London SW16",London
Aston Chase,https://st.zoocdn.com/zoopla_static_agent_logo_(703975).png,"£5,975,000","Springfield Road, St John's Wood, London NW8",London
Dexters - Richmond,https://st.zoocdn.com/zoopla_static_agent_logo_(727723).png,"£1,395,000","Manor Road, Richmond TW9",Surrey
Ellis & Co - Harrow,https://st.zoocdn.com/zoopla_static_agent_logo_(575343).png,"£465,000","Malcolm Court, Stanmore, Middlesex HA7",London
Langford Russell - Orpington,https://st.zoocdn.com/zoopla_static_agent_logo_(732787).png,"£850,000","St. Leonards Rise, Farnborough, Orpington BR6",London
Bellway - Maybrey Works,https://st.zoocdn.com/zoopla_static_agent_logo_(458905).png,"£352,000","Worsley Bridge Road, Sydenham SE26",London
Wilfords London Ltd,https://st.zoocdn.com/zoopla_static_agent_logo_(731209).png,"£2,850,000","Campden Hill Road, Hillgate Village W8",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£525,000","60 Arundel Square, Islington N7",London
IC Property,https://st.zoocdn.com/zoopla_static_agent_logo_(144598).png,"£224,995","The Broadway, Mutton Lane, Potters Bar EN6",Hertfordshire
Campbell Residential,https://st.zoocdn.com/zoopla_static_agent_logo_(74813).jpeg,"£394,999","Seagull Lane, London E16",London
Andrew Kingsley,https://st.zoocdn.com/zoopla_static_agent_logo_(134689).png,"£487,500","Speldhurst Close, Bromley BR2",London
Laurels,https://st.zoocdn.com/zoopla_static_agent_logo_(711519).png,"£225,000","Heron Way, Wallington SM6",London
Knight Frank - South Kensington Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(644074).png,"£4,950,000","Queen's Gate Place Mews, South Kensington, London SW7",London
Wards - Welling,https://st.zoocdn.com/zoopla_static_agent_logo_(589585).png,"£500,000","The Spinney, Sidcup, Kent DA14",Kent
JLL - Greenwich,https://st.zoocdn.com/zoopla_static_agent_logo_(526089).png,"£300,000","Ashmore Road, London SE18",London
Martin & Co - London Riverside,https://st.zoocdn.com/zoopla_static_agent_logo_(706042).png,"£600,000","Nine Elms Lane, Nine Elms SW11",London
Fabrica by A2 Dominion - Hanwell Square,https://st.zoocdn.com/zoopla_static_agent_logo_(671997).png,"£420,000","Boston Road, Hanwell W7",London
Hamptons - Islington Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(707660).png,"£450,000","Mildmay Grove North, London N1",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£380,000","Homer Drive, London E14",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£280,000","Millers Green Close, Enfield EN2",London
John Alan,https://st.zoocdn.com/zoopla_static_agent_logo_(61178).png,"£387,500","Mowbray Road, London SE19",London
Bellway - The River Gardens,https://st.zoocdn.com/zoopla_static_agent_logo_(458905).png,"£584,000","Banning Street, Royal Greenwich, London SE10",London
Coopers Residential - West Drayton,https://st.zoocdn.com/zoopla_static_agent_logo_(447558).png,"£175,000","Merrivale Mews, Yiewsley, West Drayton UB7",London
Savills - Marylebone & Fitzrovia,https://st.zoocdn.com/zoopla_static_agent_logo_(114913).png,"£1,895,000","Mansfield Street, Marylebone, London W1G",London
Liu international uk limited,https://st.zoocdn.com/zoopla_static_agent_logo_(733162).png,"£899,000","52, Ingrebourne Apartments, 5, Central Avenue, London SW6",London
"Munday's, London",https://st.zoocdn.com/zoopla_static_agent_logo_(304049).png,"£499,950","Crofton Road, Camberwell SE5",London
CHAMPS UK Property Asset Management,https://st.zoocdn.com/zoopla_static_agent_logo_(692976).png,"£720,000","Fountain Park Way, London W12",London
Bellway - Eastside Quarter,https://st.zoocdn.com/zoopla_static_agent_logo_(458905).png,"£309,000","2 Watling Street, Bexleyheath DA6",Kent
David Andrew Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(666976).png,"£600,000","Arthur Road, London N7",London
Bellway - Eastside Quarter,https://st.zoocdn.com/zoopla_static_agent_logo_(458905).png,"£296,000","2 Watling Street, Bexleyheath DA6",Kent
Brian Cox - North Harrow,https://st.zoocdn.com/zoopla_static_agent_logo_(280176).png,"£750,000","Argyle Road, North Harrow, Harrow HA2",London
Blueprint Properties,https://st.zoocdn.com/zoopla_static_agent_logo_(140003).jpeg,"£650,000","Easton Lodge, Uxbridge Road, London W7",London
Dexters - Richmond,https://st.zoocdn.com/zoopla_static_agent_logo_(727723).png,"£440,000","Upper Richmond Road West, London SW14",London
Central Estate Agents,https://st.zoocdn.com/zoopla_static_agent_logo_(395762).png,"£435,000","Eldon Road, Walthamstow, London E17",London
Central Estate Agents,https://st.zoocdn.com/zoopla_static_agent_logo_(395762).png,"£285,000","Higham Hill Road, Walthamstow, London E17",London
Presidential Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(733903).png,"£625,000","Dale View Gardens, London E4",London
Anthony James Manser,https://st.zoocdn.com/zoopla_static_agent_logo_(299378).png,"£550,000","Windmill Road, Brentford TW8",London
Anthony James Manser,https://st.zoocdn.com/zoopla_static_agent_logo_(299378).png,"£415,000","Windmill Road, Brentford TW8",London
Anthony James Manser,https://st.zoocdn.com/zoopla_static_agent_logo_(299378).png,"£600,000","Windmill Road, Brentford TW8",London
LHL Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(317267).png,"£549,995","Lambert Walk, Wembley HA9",London
Jukes and Co,https://st.zoocdn.com/zoopla_static_agent_logo_(155448).png,"£350,000","Friends Road, Croydon CR0",London
Barnard Marcus - Ealing,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£550,000","Performance Point, Windmill Road, Brentford, London TW8",London
Barnard Marcus - Ealing,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£625,000","Hatton Road, Wembley HA0",London
Featherstone Leigh - Twickenham,https://st.zoocdn.com/zoopla_static_agent_logo_(126581).png,"£425,000","Hampton Road, Twickenham, Middlesex TW2",London
Barnard Marcus - Ealing,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£600,000","Performance Point, Windmill Road, Brentford, London TW8",London
Barnard Marcus - Epsom,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£447,500","Millside Place, Mill Road, Epsom KT17",Surrey
Bennett Holmes - Northolt,https://st.zoocdn.com/zoopla_static_agent_logo_(58658).jpeg,"£575,000","Fore Street, Pinner, Middlesex HA5",London
Homesearch Ltd,https://st.zoocdn.com/zoopla_static_agent_logo_(367149).png,"£565,000","Jasmine House, Kew Bridge, Kew TW8",London
Bellway - Dacres Wood Court,https://st.zoocdn.com/zoopla_static_agent_logo_(713050).png,"£506,995","Mayow Road, Lewisham SE23",London
Bellway - Dacres Wood Court,https://st.zoocdn.com/zoopla_static_agent_logo_(713050).png,"£514,995","Mayow Road, Lewisham SE23",London
Martyn Gerrard - Kentish Town - Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(687544).png,"£575,000","Anson Road, Tufnell Park, London N7",London
Churchill Estates - Wanstead,https://st.zoocdn.com/zoopla_static_agent_logo_(162209).png,"£425,000","Grosvenor Road, London E11",London
Hamptons - City Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(707660).png,"£575,000","Dance Square, London EC1V",London
Alwyne Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(249625).png,"£825,000","3 Killick Street, London N1",London
Marlborough Homes Ltd,https://st.zoocdn.com/zoopla_static_agent_logo_(296379).png,"£225,000","Portway, London E15",London
Bellway - Dacres Wood Court,https://st.zoocdn.com/zoopla_static_agent_logo_(713050).png,"£376,995","Mayow Road, Lewisham SE23",London
Property Inside London,https://st.zoocdn.com/zoopla_static_agent_logo_(246549).png,"£3,150,000","The Corniche, 20 Albert Embankment, London SE1",London
Martyn Gerrard - North Finchley - Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(687544).png,"£450,000","Woodside Park Road, Woodside Park, London N12",London
Dexters - Tooting,https://st.zoocdn.com/zoopla_static_agent_logo_(727723).png,"£775,000","Gilbey Road, London SW17",London
Langford Russell - Chislehurst,https://st.zoocdn.com/zoopla_static_agent_logo_(732787).png,"£750,000","Empress Drive, Chislehurst BR7",London
Robsons,https://st.zoocdn.com/zoopla_static_agent_logo_(358212).png,"£925,000","Highfield Avenue, Pinner HA5",London
Barnard Marcus - Whetstone,https://st.zoocdn.com/zoopla_static_agent_logo_(592283).png,"£325,000","Cat Hill, East Barnet, Barnet EN4",Hertfordshire
Barnfields - Enfield,https://st.zoocdn.com/zoopla_static_agent_logo_(596363).png,"£800,000","Manor Road, Enfield EN2",London
Tilson & Spencer,https://st.zoocdn.com/zoopla_static_agent_logo_(504565).png,"£320,000","Apple Tree Road, London N17",London
Butler’s,https://st.zoocdn.com/zoopla_static_agent_logo_(720366).png,"£500,000","Gander Green Lane, Sutton SM1",London
Aston Chase,https://st.zoocdn.com/zoopla_static_agent_logo_(703975).png,"£17,950,000","Randolph Road, Little Venice, London W9",London
Ellisons,https://st.zoocdn.com/zoopla_static_agent_logo_(319765).png,"£1,150,000","Quicks Road, London SW19",London
Sinclair Hammelton,https://st.zoocdn.com/zoopla_static_agent_logo_(153100).png,"£525,000","Prescott Avenue, Petts Wood, Kent BR5",London
John D Wood & Co. - Parsons Green Sales,https://st.zoocdn.com/zoopla_static_agent_logo_(640761).png,"£2,425,000","Bovingdon Road, Parsons Green, Fulham, London SW6",London
Winkworth - Paddington & Bayswater,https://st.zoocdn.com/zoopla_static_agent_logo_(249290).png,"£1,495,000","Harley Street, Second Floor Only, Marylebone W1G",London
Shaw & Co,https://st.zoocdn.com/zoopla_static_agent_logo_(733795).png,"£464,950","Hounslow Road, Whitton, Twickenham TW2",London
Sinton Andrews,https://st.zoocdn.com/zoopla_static_agent_logo_(670742).png,"£825,000","Boston Manor Road, Brentford TW8",London
JOHNS&CO - Brentford,https://st.zoocdn.com/zoopla_static_agent_logo_(505166).png,"£625,000","Copland Court, Durham Wharf Drive, Brentford TW8",London
Andrew Reeves - Westminster & Belgravia,https://st.zoocdn.com/zoopla_static_agent_logo_(700975).png,"£650,000","The Atrium, 30 Vincent Square, Westminster, London SW1P",London
JOHNS&CO - Brentford,https://st.zoocdn.com/zoopla_static_agent_logo_(505166).png,"£450,000","Copland Court, Durham Wharf Drive, Brentford TW8",London
Noble Residential,https://st.zoocdn.com/zoopla_static_agent_logo_(586503).png,"£995,000","Roseacre Close, Hornchurch RM11",Essex
Sold.co.uk,https://st.zoocdn.com/zoopla_static_agent_logo_(721204).png,"£170,000","Thicket Road, Sutton SM1",London
Elegant Homes London,https://st.zoocdn.com/zoopla_static_agent_logo_(402905).png,"£749,950","Broadley Terrace, London NW1",London
Dexters - Surbiton,https://st.zoocdn.com/zoopla_static_agent_logo_(727723).png,"£599,950","Dolphin Close, Surbiton KT6",London
Elegant Homes London,https://st.zoocdn.com/zoopla_static_agent_logo_(402905).png,"£799,950","College Crescent, London NW3",London
Camerons Stiff & Co.,https://st.zoocdn.com/zoopla_static_agent_logo_(596438).png,"£525,000","St. Pauls Avenue, London NW2",London
Yopa,https://st.zoocdn.com/zoopla_static_agent_logo_(654233).png,"£525,000","Primrose Avenue, Chadwell Heath, Romford RM6",Essex
LRC - London Sales and Letting Agency,https://st.zoocdn.com/zoopla_static_agent_logo_(497206).png,"£363,500","Penge Road, Upton Park, London E13",London
Atkinson Mcleod - Canary Wharf,https://st.zoocdn.com/zoopla_static_agent_logo_(350647).png,"£310,000","Exeter Road, London E16",London
Whitman & Co,https://st.zoocdn.com/zoopla_static_agent_logo_(56102).jpeg,"£1,500,000","Quick Road, London W4",London
Alan De Maid - Locksbottom,https://st.zoocdn.com/zoopla_static_agent_logo_(640020).png,"£2,750,000","Meadow Way, Farnborough Park BR6",London
Nested Ltd,https://st.zoocdn.com/zoopla_static_agent_logo_(662892).png,"£350,000","Poynder Court, Camden Road, Holloway, London N7",London
Cuvelo,https://st.zoocdn.com/zoopla_static_agent_logo_(708810).png,"£995,000","Jack's Straw Castle, Hampsted NW3",London
Foxtons - West Hampstead,https://st.zoocdn.com/zoopla_static_agent_logo_(592983).png,"£500,000","Fortune Green Road, West Hampstead, London NW6",London
Strike,https://st.zoocdn.com/zoopla_static_agent_logo_(725875).png,"£895,000","Sloane Gardens, London SW1W",London
Warren Bradley Estates,https://st.zoocdn.com/zoopla_static_agent_logo_(26663).gif,"£725,000","Lynton Avenue, London NW9",London
Savills - Margaret Street RDS,https://st.zoocdn.com/zoopla_static_agent_logo_(82122).png,"£1,520,000","King's Road Park, King's Road, London SW6",London
Savills - Margaret Street RDS,https://st.zoocdn.com/zoopla_static_agent_logo_(82122).png,"£1,015,000","King's Road Park, King's Road, London SW6",London
Savills - Margaret Street RDS,https://st.zoocdn.com/zoopla_static_agent_logo_(82122).png,"£1,400,000","King's Road Park, King's Road, London SW6",London
Savills - Mayfair & St James’s,https://st.zoocdn.com/zoopla_static_agent_logo_(648969).png,"£9,000,000","Upper Feilde, 71 Park Street, Mayfair, London W1K",London
Savills - Mayfair & St James’s,https://st.zoocdn.com/zoopla_static_agent_logo_(648969).png,"£38,500,000","Grosvenor Square, Mayfair, London W1K",London
"Purplebricks, Head Office",https://st.zoocdn.com/zoopla_static_agent_logo_(584439).png,"£500,000","Nimbus Road, Epsom KT19",Surrey
The Property Club,https://st.zoocdn.com/zoopla_static_agent_logo_(687057).png,"£950,000","The Broadway, Barnes, London SW13",London
Oliver Burn Residential,https://st.zoocdn.com/zoopla_static_agent_logo_(27641).gif,"£495,000","Dorset Road, Vauxhall, London SW8",London
